ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;0;676;977;0;0;476;996;46;109;464;427;99;477;571
2;836;0;37;6;392;111;158;0;922;0;571;0;633;380
3;707;314;0;544;934;0;425;0;89;93;56;627;389;155
4;81;574;664;0;242;767;730;953;273;311;614;0;830;993
5;0;0;813;717;0;899;896;218;234;80;0;34;338;245
6;833;566;0;0;274;0;654;759;0;490;0;942;111;542
7;454;0;2;0;958;609;0;480;0;782;910;829;774;242
8;334;509;0;797;45;45;473;0;718;968;737;285;0;787
9;0;90;254;100;483;0;115;904;0;2;0;321;989;730
10;0;70;0;921;496;309;901;405;96;0;178;106;63;42
11;206;24;534;0;0;0;0;622;744;607;0;527;0;0
12;772;553;255;375;67;379;596;89;536;919;22;0;255;493
13;0;432;623;236;389;572;0;540;800;12;99;499;0;691
14;674;0;770;245;0;530;814;48;0;598;787;788;47;0
