src,dest,type,value
Balakhna,Arzamas,cargo1,4346
Balakhna,Arzamas,cargo2,5074
Balakhna,Arzamas,cargo3,5652
Balakhna,Ruzayevka,cargo1,1133
Balakhna,Ruzayevka,cargo2,1693
Balakhna,Ruzayevka,cargo3,8828
Balakhna,Oktyabrskiy,cargo1,3121
Balakhna,Oktyabrskiy,cargo2,40
Balakhna,Oktyabrskiy,cargo3,5546
Balakhna,Kirovo-Chepetsk,cargo1,790
Balakhna,Kirovo-Chepetsk,cargo2,6907
Balakhna,Kirovo-Chepetsk,cargo3,6272
Balakhna,Novotroitsk,cargo1,8797
Balakhna,Novotroitsk,cargo2,9817
Balakhna,Novotroitsk,cargo3,7613
Balakhna,Buguruslan,cargo1,4862
Balakhna,Buguruslan,cargo2,7753
Balakhna,Buguruslan,cargo3,9392
Balakhna,Chapayevsk,cargo1,7898
Balakhna,Chapayevsk,cargo2,6386
Balakhna,Chapayevsk,cargo3,120
Balakhna,Syzran,cargo1,232
Balakhna,Syzran,cargo2,8846
Balakhna,Syzran,cargo3,7754
Balakhna,Novokuybishevsk,cargo1,914
Balakhna,Novokuybishevsk,cargo2,8818
Balakhna,Novokuybishevsk,cargo3,5875
Balakhna,Naberezhnyye Chelny,cargo1,2687
Balakhna,Naberezhnyye Chelny,cargo2,1674
Balakhna,Naberezhnyye Chelny,cargo3,2146
Balakhna,Zelenodolsk,cargo1,9813
Balakhna,Zelenodolsk,cargo2,2225
Balakhna,Zelenodolsk,cargo3,4730
Balakhna,Leninogorsk,cargo1,2313
Balakhna,Leninogorsk,cargo2,1520
Balakhna,Leninogorsk,cargo3,1062
Balakhna,Bugulma,cargo1,285
Balakhna,Bugulma,cargo2,4919
Balakhna,Bugulma,cargo3,8788
Balakhna,Solikamsk,cargo1,4595
Balakhna,Solikamsk,cargo2,6710
Balakhna,Solikamsk,cargo3,7105
Balakhna,Kizel,cargo1,5873
Balakhna,Kizel,cargo2,4968
Balakhna,Kizel,cargo3,4019
Balakhna,Dzerzhinsk,cargo1,6296
Balakhna,Dzerzhinsk,cargo2,6830
Balakhna,Dzerzhinsk,cargo3,7576
Balakhna,Vyska,cargo1,51
Balakhna,Vyska,cargo2,7749
Balakhna,Vyska,cargo3,2665
Balakhna,Saransk,cargo1,4968
Balakhna,Saransk,cargo2,9075
Balakhna,Saransk,cargo3,4163
Balakhna,Kamenka,cargo1,6474
Balakhna,Kamenka,cargo2,3176
Balakhna,Kamenka,cargo3,6729
Balakhna,Kuznetsk,cargo1,2636
Balakhna,Kuznetsk,cargo2,9492
Balakhna,Kuznetsk,cargo3,4942
Balakhna,Serdobsk,cargo1,4492
Balakhna,Serdobsk,cargo2,3415
Balakhna,Serdobsk,cargo3,8423
Balakhna,Rayevskiy,cargo1,1834
Balakhna,Rayevskiy,cargo2,9738
Balakhna,Rayevskiy,cargo3,727
Balakhna,Sibay,cargo1,1207
Balakhna,Sibay,cargo2,9150
Balakhna,Sibay,cargo3,4074
Balakhna,Kumertau,cargo1,5289
Balakhna,Kumertau,cargo2,8010
Balakhna,Kumertau,cargo3,5033
Balakhna,Salavat,cargo1,2575
Balakhna,Salavat,cargo2,4729
Balakhna,Salavat,cargo3,169
Balakhna,Belebey,cargo1,5196
Balakhna,Belebey,cargo2,6779
Balakhna,Belebey,cargo3,1918
Balakhna,Tuymazy,cargo1,1581
Balakhna,Tuymazy,cargo2,154
Balakhna,Tuymazy,cargo3,9517
Balakhna,Neftekamsk,cargo1,7452
Balakhna,Neftekamsk,cargo2,7776
Balakhna,Neftekamsk,cargo3,8730
Balakhna,Sovetsk,cargo1,3215
Balakhna,Sovetsk,cargo2,6085
Balakhna,Sovetsk,cargo3,5753
Balakhna,Slobodskoy,cargo1,2532
Balakhna,Slobodskoy,cargo2,811
Balakhna,Slobodskoy,cargo3,8443
Balakhna,Kirs,cargo1,7601
Balakhna,Kirs,cargo2,4023
Balakhna,Kirs,cargo3,650
Balakhna,Omutninsk,cargo1,4407
Balakhna,Omutninsk,cargo2,2333
Balakhna,Omutninsk,cargo3,5157
Balakhna,Kotelnich,cargo1,8991
Balakhna,Kotelnich,cargo2,4955
Balakhna,Kotelnich,cargo3,9757
Balakhna,Yoshkar Ola,cargo1,4006
Balakhna,Yoshkar Ola,cargo2,2052
Balakhna,Yoshkar Ola,cargo3,4551
Balakhna,Sarapul,cargo1,8879
Balakhna,Sarapul,cargo2,5139
Balakhna,Sarapul,cargo3,7283
Balakhna,Mozhga,cargo1,6169
Balakhna,Mozhga,cargo2,2194
Balakhna,Mozhga,cargo3,1045
Balakhna,Votkinsk,cargo1,6891
Balakhna,Votkinsk,cargo2,8286
Balakhna,Votkinsk,cargo3,9724
Balakhna,Glazov,cargo1,6782
Balakhna,Glazov,cargo2,1191
Balakhna,Glazov,cargo3,8624
Balakhna,Kanash,cargo1,7898
Balakhna,Kanash,cargo2,3102
Balakhna,Kanash,cargo3,792
