OBJECTID,NAME
1439,Balakhna
1440,Arzamas
1441,Ruzayevka
1442,Oktyabrskiy
1443,Kirovo-Chepetsk
1444,Novotroitsk
1445,Buguruslan
1446,Chapayevsk
1447,Syzran
1448,Novokuybishevsk
1449,Naberezhnyye Chelny
1450,Zelenodolsk
1451,Leninogorsk
1452,Bugulma
1453,Solikamsk
1454,Kizel
1455,Dzerzhinsk
1456,Vyska
1457,Saransk
1458,Kamenka
1459,Kuznetsk
1460,Serdobsk
1461,Rayevskiy
1462,Sibay
1463,Kumertau
1464,Salavat
1465,Belebey
1466,Tuymazy
1467,Neftekamsk
1468,Sovetsk
1469,Slobodskoy
1470,Kirs
1471,Omutninsk
1472,Kotelnich
1473,Yoshkar Ola
1474,Sarapul
1475,Mozhga
1476,Votkinsk
1477,Glazov
1478,Kanash
1479,Shumerlya
1480,Alatyr
1481,Sol-lletsk
1482,Dombarovskiy
1483,Mednogorsk
1484,Gay
1485,Buzuluk
1486,Otradnyy
1487,Tolyatti
1488,Engels
1489,Pugachev
1490,Volsk
1491,Atkarsk
1492,Balashov
1493,Almetyevsk
1494,Chistopol
1495,Nizhnekamsk
1496,Dimitrovgrad
1497,Kudymkar
1498,Kungur
1499,Krasnokamsk
1500,Chusovoy
1501,Gubakha
1502,Sterlitamak
1503,Cheboksary
1504,Orsk
1505,Balakovo
1506,Birsk
1507,Izhevsk
1508,Krasnoarmeysk
1509,Berezniki
1510,Penza
1511,Kirov
1512,Orenburg
1513,Saratov
1514,Ulyanovsk
1515,Nizhny Novgorod
1516,Ufa
1517,Samara
1518,Kazan
1519,Perm
