src,dest,type,value
Алатырь,Альметьевск,cargo1,0
Алатырь,Альметьевск,cargo2,0
Алатырь,Альметьевск,cargo3,0
Алатырь,Арзамас,cargo1,0
Алатырь,Арзамас,cargo2,0
Алатырь,Арзамас,cargo3,0
Алатырь,Аткарск,cargo1,0
Алатырь,Аткарск,cargo2,0
Алатырь,Аткарск,cargo3,0
Алатырь,Балахна,cargo1,5
Алатырь,Балахна,cargo2,9
Алатырь,Балахна,cargo3,10
Алатырь,Балаково,cargo1,8542
Алатырь,Балаково,cargo2,501
Алатырь,Балаково,cargo3,6911
Алатырь,Балашов,cargo1,4326
Алатырь,Балашов,cargo2,8952
Алатырь,Балашов,cargo3,3627
Алатырь,Белебей,cargo1,3071
Алатырь,Белебей,cargo2,4362
Алатырь,Белебей,cargo3,3981
Алатырь,Березники,cargo1,0
Алатырь,Березники,cargo2,0
Алатырь,Березники,cargo3,0
Алатырь,Бирск,cargo1,0
Алатырь,Бирск,cargo2,0
Алатырь,Бирск,cargo3,0
Алатырь,Бугульма,cargo1,68
Алатырь,Бугульма,cargo2,18
Алатырь,Бугульма,cargo3,68
Алатырь,Бугуруслан,cargo1,61
Алатырь,Бугуруслан,cargo2,40
Алатырь,Бугуруслан,cargo3,27
Алатырь,Бузулук,cargo1,0
Алатырь,Бузулук,cargo2,0
Алатырь,Бузулук,cargo3,0
Алатырь,Чапаевск,cargo1,0
Алатырь,Чапаевск,cargo2,0
Алатырь,Чапаевск,cargo3,0
Алатырь,Чебоксары,cargo1,0
Алатырь,Чебоксары,cargo2,0
Алатырь,Чебоксары,cargo3,0
Алатырь,Чистополь,cargo1,0
Алатырь,Чистополь,cargo2,0
Алатырь,Чистополь,cargo3,0
Алатырь,Чусовой,cargo1,9417
Алатырь,Чусовой,cargo2,28058
Алатырь,Чусовой,cargo3,35815
Алатырь,Димитровград,cargo1,79768
Алатырь,Димитровград,cargo2,92084
Алатырь,Димитровград,cargo3,92215
Алатырь,Домбаровский,cargo1,0
Алатырь,Домбаровский,cargo2,0
Алатырь,Домбаровский,cargo3,0
Алатырь,Дзержинск,cargo1,0
Алатырь,Дзержинск,cargo2,0
Алатырь,Дзержинск,cargo3,0
Алатырь,Энгельс,cargo1,2
Алатырь,Энгельс,cargo2,2
Алатырь,Энгельс,cargo3,8
Алатырь,Гай,cargo1,9
Алатырь,Гай,cargo2,2
Алатырь,Гай,cargo3,7
Алатырь,Глазов,cargo1,1980
Алатырь,Глазов,cargo2,3393
Алатырь,Глазов,cargo3,2113
Алатырь,Губаха,cargo1,9285
Алатырь,Губаха,cargo2,1577
Алатырь,Губаха,cargo3,6893
Алатырь,Ижевск,cargo1,1423
Алатырь,Ижевск,cargo2,6369
Алатырь,Ижевск,cargo3,5589
Алатырь,Каменка,cargo1,6334
Алатырь,Каменка,cargo2,227
Алатырь,Каменка,cargo3,43
Алатырь,Канаш,cargo1,2381
Алатырь,Канаш,cargo2,6358
Алатырь,Канаш,cargo3,5450
Алатырь,Казань,cargo1,1266
Алатырь,Казань,cargo2,6507
Алатырь,Казань,cargo3,6776
Алатырь,Киров,cargo1,5587
Алатырь,Киров,cargo2,5520
Алатырь,Киров,cargo3,7542
Алатырь,Кирово-Чепецк,cargo1,8044
Алатырь,Кирово-Чепецк,cargo2,4792
Алатырь,Кирово-Чепецк,cargo3,2822
Алатырь,Кирс,cargo1,5171
Алатырь,Кирс,cargo2,9369
Алатырь,Кирс,cargo3,9184
Алатырь,Кизел,cargo1,3997
Алатырь,Кизел,cargo2,8899
Алатырь,Кизел,cargo3,3129
Алатырь,Котельнич,cargo1,7845
Алатырь,Котельнич,cargo2,4936
Алатырь,Котельнич,cargo3,5362
Алатырь,Красноармейск,cargo1,5110
Алатырь,Красноармейск,cargo2,7237
Алатырь,Красноармейск,cargo3,9285
Алатырь,Краснокамск,cargo1,5146
Алатырь,Краснокамск,cargo2,1795
Алатырь,Краснокамск,cargo3,3407
Алатырь,Кудымкар,cargo1,4473
Алатырь,Кудымкар,cargo2,3881
Алатырь,Кудымкар,cargo3,9734
Алатырь,Кумертау,cargo1,6442
Алатырь,Кумертау,cargo2,4793
Алатырь,Кумертау,cargo3,1947
Алатырь,Кунгур,cargo1,759
Алатырь,Кунгур,cargo2,5793
Алатырь,Кунгур,cargo3,4100
Алатырь,Кузнецк,cargo1,9560
Алатырь,Кузнецк,cargo2,5617
Алатырь,Кузнецк,cargo3,2033
Алатырь,Лениногорск,cargo1,2382
Алатырь,Лениногорск,cargo2,5465
Алатырь,Лениногорск,cargo3,4873
Алатырь,Медногорск,cargo1,3210
Алатырь,Медногорск,cargo2,1608
Алатырь,Медногорск,cargo3,6412
Алатырь,Можга,cargo1,9206
Алатырь,Можга,cargo2,6032
Алатырь,Можга,cargo3,3426
Алатырь,Набережные Челны,cargo1,9256
Алатырь,Набережные Челны,cargo2,9859
Алатырь,Набережные Челны,cargo3,8979
Алатырь,Нефтекамск,cargo1,160
Алатырь,Нефтекамск,cargo2,279
Алатырь,Нефтекамск,cargo3,8183
Алатырь,Нижнекамск,cargo1,9353
Алатырь,Нижнекамск,cargo2,32
Алатырь,Нижнекамск,cargo3,1209
Алатырь,Нижний Новгород,cargo1,7434
Алатырь,Нижний Новгород,cargo2,2307
Алатырь,Нижний Новгород,cargo3,8279
Алатырь,Новокуйбышевск,cargo1,7989
Алатырь,Новокуйбышевск,cargo2,8047
Алатырь,Новокуйбышевск,cargo3,5640
Алатырь,Новотроицк,cargo1,2570
Алатырь,Новотроицк,cargo2,9187
Алатырь,Новотроицк,cargo3,4674
Алатырь,Октябрьский,cargo1,6141
Алатырь,Октябрьский,cargo2,3035
Алатырь,Октябрьский,cargo3,1859
Алатырь,Омутнинск,cargo1,6701
Алатырь,Омутнинск,cargo2,4262
Алатырь,Омутнинск,cargo3,6643
Алатырь,Оренбург,cargo1,5087
Алатырь,Оренбург,cargo2,9099
Алатырь,Оренбург,cargo3,68
Алатырь,Орск,cargo1,8971
Алатырь,Орск,cargo2,8753
Алатырь,Орск,cargo3,3449
Алатырь,Отрадный,cargo1,5917
Алатырь,Отрадный,cargo2,712
Алатырь,Отрадный,cargo3,7082
Алатырь,Пенза,cargo1,4311
Алатырь,Пенза,cargo2,7996
Алатырь,Пенза,cargo3,4043
Алатырь,Пермь,cargo1,9386
Алатырь,Пермь,cargo2,3030
Алатырь,Пермь,cargo3,4593
Алатырь,Пугачев,cargo1,7332
Алатырь,Пугачев,cargo2,1823
Алатырь,Пугачев,cargo3,9063
Алатырь,Раевский,cargo1,7631
Алатырь,Раевский,cargo2,6034
Алатырь,Раевский,cargo3,6431
Алатырь,Рузаевка,cargo1,2314
Алатырь,Рузаевка,cargo2,2676
Алатырь,Рузаевка,cargo3,8844
Алатырь,Салават,cargo1,7295
Алатырь,Салават,cargo2,1478
Алатырь,Салават,cargo3,1323
Алатырь,Самара,cargo1,8264
Алатырь,Самара,cargo2,1643
Алатырь,Самара,cargo3,405
Алатырь,Саранск,cargo1,2158
Алатырь,Саранск,cargo2,6529
Алатырь,Саранск,cargo3,7321
Алатырь,Сарапул,cargo1,4634
Алатырь,Сарапул,cargo2,5402
Алатырь,Сарапул,cargo3,4483
Алатырь,Саратов,cargo1,2753
Алатырь,Саратов,cargo2,8088
Алатырь,Саратов,cargo3,9914
Алатырь,Сердобск,cargo1,1006
Алатырь,Сердобск,cargo2,5239
Алатырь,Сердобск,cargo3,2357
Алатырь,Шумерля,cargo1,8583
Алатырь,Шумерля,cargo2,2595
Алатырь,Шумерля,cargo3,8936
Алатырь,Сибай,cargo1,4731
Алатырь,Сибай,cargo2,2744
Алатырь,Сибай,cargo3,6075
Алатырь,Слободской,cargo1,4096
Алатырь,Слободской,cargo2,1971
Алатырь,Слободской,cargo3,542
Алатырь,Соликамск,cargo1,4174
Алатырь,Соликамск,cargo2,2043
Алатырь,Соликамск,cargo3,558
Алатырь,Соль-Илецк,cargo1,10
Алатырь,Соль-Илецк,cargo2,0
Алатырь,Соль-Илецк,cargo3,10
Алатырь,Советск,cargo1,6352
Алатырь,Советск,cargo2,2240
Алатырь,Советск,cargo3,2941
